"","K","Exclusivity","SemanticCoherence","Model"
"1","1",9.41362813355806,-67.0982542983842,"Model K = 16"
"2","2",9.38946951584147,-68.6114490479325,"Model K = 16"
"3","3",9.62077406069931,-89.5937472573583,"Model K = 16"
"4","4",9.27244243110245,-70.5059739459497,"Model K = 16"
"5","5",9.49288224239316,-63.5562718693387,"Model K = 16"
"6","6",9.51269643166076,-88.0198352906838,"Model K = 16"
"7","7",9.72561076696007,-113.996684504864,"Model K = 16"
"8","8",9.5506441350779,-101.314961197189,"Model K = 16"
"9","9",9.40847888474432,-70.4896755834231,"Model K = 16"
"10","10",9.60569300240624,-90.659709163419,"Model K = 16"
"11","11",9.463709943586,-90.1156539692978,"Model K = 16"
"12","12",9.29913043329736,-107.85581022342,"Model K = 16"
"13","13",9.52025995208381,-85.4677881067127,"Model K = 16"
"14","14",9.22375016052449,-81.3930017417125,"Model K = 16"
"15","15",9.5796991685408,-113.439668058129,"Model K = 16"
"16","16",9.84267823882055,-114.251926687569,"Model K = 16"
"17","1",9.47112870706973,-72.4325675139337,"Model K = 17"
"18","2",9.48572876681985,-90.1012739531181,"Model K = 17"
"19","3",9.57259961191287,-91.7382985015046,"Model K = 17"
"20","4",9.40388100906324,-77.4928225989538,"Model K = 17"
"21","5",9.57495447115038,-50.97519743854,"Model K = 17"
"22","6",9.52091193681119,-86.3217757562269,"Model K = 17"
"23","7",9.75654046526798,-115.444311877603,"Model K = 17"
"24","8",9.64894479786657,-93.8218296446286,"Model K = 17"
"25","9",9.41164553001465,-68.3351785027144,"Model K = 17"
"26","10",9.62773244101458,-90.2286762850462,"Model K = 17"
"27","11",9.42395270857934,-90.5414948178409,"Model K = 17"
"28","12",9.34027240369659,-106.756859622806,"Model K = 17"
"29","13",9.56404143118077,-84.4386745783335,"Model K = 17"
"30","14",9.22608618321148,-79.7451140422375,"Model K = 17"
"31","15",9.67770527501568,-112.73947175634,"Model K = 17"
"32","16",9.39206567026171,-115.649554785944,"Model K = 17"
"33","17",9.65859399914711,-113.030307019908,"Model K = 17"
"34","1",9.49286413524405,-72.4325675139337,"Model K = 18"
"35","2",9.47111255385893,-77.761771157641,"Model K = 18"
"36","3",9.72566407387843,-91.1105788596884,"Model K = 18"
"37","4",9.4253999240026,-76.6157185331173,"Model K = 18"
"38","5",9.61644854046882,-59.8439767564725,"Model K = 18"
"39","6",9.53918540544373,-86.0835773954049,"Model K = 18"
"40","7",9.76156647864683,-113.93902925893,"Model K = 18"
"41","8",9.63391637266232,-89.9945629495105,"Model K = 18"
"42","9",9.46452362092435,-71.0336382746559,"Model K = 18"
"43","10",9.64550774039183,-90.2286762850462,"Model K = 18"
"44","11",9.42020998285999,-90.5414948178409,"Model K = 18"
"45","12",9.3649841980202,-110.858936151212,"Model K = 18"
"46","13",9.54932028135925,-85.4677881067127,"Model K = 18"
"47","14",9.23604359042779,-79.7451140422375,"Model K = 18"
"48","15",9.5937430731108,-99.6286654127301,"Model K = 18"
"49","16",9.25813210256165,-106.502101253662,"Model K = 18"
"50","17",9.6903213440488,-99.2526003552775,"Model K = 18"
"51","18",9.53248527051953,-124.507332185086,"Model K = 18"
"52","1",9.51535003575311,-73.146437435252,"Model K = 19"
"53","2",9.61421021163847,-94.139376641363,"Model K = 19"
"54","3",9.66734050482374,-90.3764011160122,"Model K = 19"
"55","4",9.39470239878459,-71.9920122461013,"Model K = 19"
"56","5",9.85055194827297,-107.932731371126,"Model K = 19"
"57","6",9.56401686983425,-97.8686245509615,"Model K = 19"
"58","7",9.88389996294938,-104.110436604903,"Model K = 19"
"59","8",9.63302432831235,-101.435027343602,"Model K = 19"
"60","9",9.41783518072355,-67.8067461738163,"Model K = 19"
"61","10",9.65028897020746,-92.3677961143681,"Model K = 19"
"62","11",9.61096083721168,-90.7973985427336,"Model K = 19"
"63","12",9.34977584757318,-104.673074057348,"Model K = 19"
"64","13",9.58592959942052,-83.9412178668068,"Model K = 19"
"65","14",9.22385557268351,-79.7451140422375,"Model K = 19"
"66","15",9.62231602954255,-98.7377476629194,"Model K = 19"
"67","16",9.53140035346729,-124.810142680295,"Model K = 19"
"68","17",9.69603434393873,-62.0692743893333,"Model K = 19"
"69","18",9.18697675357297,-86.0562252936012,"Model K = 19"
"70","19",9.81329281811544,-84.3702230856388,"Model K = 19"
"71","1",9.56809771854867,-79.3191182562109,"Model K = 20"
"72","2",9.64255711898485,-90.8143137566415,"Model K = 20"
"73","3",9.62219073640128,-92.2229199531565,"Model K = 20"
"74","4",9.42240976713167,-77.2320202500487,"Model K = 20"
"75","5",9.80025841671194,-105.311993106101,"Model K = 20"
"76","6",9.5443120949586,-85.0559119257609,"Model K = 20"
"77","7",9.77852652787848,-111.506879790731,"Model K = 20"
"78","8",9.59591750426069,-93.754092162558,"Model K = 20"
"79","9",9.45837168705108,-65.8611163921466,"Model K = 20"
"80","10",9.66849784892171,-92.3677961143681,"Model K = 20"
"81","11",9.6069258898297,-87.1497824189532,"Model K = 20"
"82","12",9.35498572777181,-104.673074057348,"Model K = 20"
"83","13",9.59428153590392,-82.7840777261965,"Model K = 20"
"84","14",9.24005716087358,-81.3930017417125,"Model K = 20"
"85","15",9.69037692903894,-112.984109718812,"Model K = 20"
"86","16",9.33404016231168,-123.013341887637,"Model K = 20"
"87","17",9.64594084138892,-62.4061237057957,"Model K = 20"
"88","18",9.25332464862933,-99.3911337825735,"Model K = 20"
"89","19",9.54248278404381,-78.581514192074,"Model K = 20"
"90","20",9.66914371142477,-97.6689604623987,"Model K = 20"
"91","1",9.57104524026385,-79.3191182562109,"Model K = 21"
"92","2",9.65209295769061,-90.8143137566415,"Model K = 21"
"93","3",9.48238222340358,-87.6004162247358,"Model K = 21"
"94","4",9.41980007520581,-76.4914715895406,"Model K = 21"
"95","5",9.80172504563747,-96.7863638954478,"Model K = 21"
"96","6",9.53392954874366,-93.3345581327522,"Model K = 21"
"97","7",9.77654790239907,-111.918852223516,"Model K = 21"
"98","8",9.6026085948269,-94.3616139160809,"Model K = 21"
"99","9",9.48785672660521,-71.9968776492721,"Model K = 21"
"100","10",9.67160315046488,-92.3677961143681,"Model K = 21"
"101","11",9.67534005944182,-92.2163009700513,"Model K = 21"
"102","12",9.41782673854769,-111.260454154701,"Model K = 21"
"103","13",9.60930562346952,-84.8175248477068,"Model K = 21"
"104","14",9.26352291409079,-81.3930017417125,"Model K = 21"
"105","15",9.69112041871224,-122.745152896173,"Model K = 21"
"106","16",9.55262750802006,-130.5342717553,"Model K = 21"
"107","17",9.71724639639,-62.4267933283212,"Model K = 21"
"108","18",9.36240603629563,-98.5369743565169,"Model K = 21"
"109","19",9.59748253994385,-79.64918494423,"Model K = 21"
"110","20",9.6398295896882,-79.4274342296029,"Model K = 21"
"111","21",9.85089373759303,-126.69332763037,"Model K = 21"
